Overall Status,Storage and/or Capture,Continent Name,Country Code,DOE Support,Exact Checkbox,Paper,Regional Partnership,Latitude,Longitude,Project Type,Size_Capture_Amount
Active,Capture and Storage,North America,CA,0,1,0,0,53.841572,-113.112056,CCS,150000.0
Completed,Storage,North America,USA,1,1,0,1,46.106511,-118.915757,Storage,450.0
Completed,Storage,North America,CA,0,0,0,0,52.66256,-114.667908,Storage,450.0
Terminated,Capture and Storage,North America,CA,0,1,0,0,49.088206,-102.864847,CCS,300.0
Terminated,Capture and Storage,North America,CA,0,0,0,0,54.565619,-115.731991,Capture,300.0
Completed,Capture and Storage,North America,CA,1,0,0,0,49.414461,-103.438402,CCS,450.0
Potential,Capture and Storage,Asia,CN,0,0,0,0,39.051371,117.412391,CCS,330.0
Active,Capture and Storage,Asia,CN,0,0,0,0,39.1037941,117.2521591,CCS,400.0
Completed,Capture and Storage,Asia,CN,0,1,0,0,41.137084,122.137069,CCS,450.0
Active,Capture and Storage,Asia,CN,1,1,0,0,39.330467,110.151331,CCS,24000.0
Active,Capture,Asia,CN,0,1,0,0,39.886528,116.5325,Capture,845.0
Completed,Storage,Asia,CN,0,0,0,0,35.69060135,112.1750412,Storage,450.0
Completed,Capture and Storage,Europe,DK,0,1,0,0,55.45437622,8.453642845,CCS,400.0
Potential,Capture and Storage,Europe,GB,0,1,0,0,53.633126,-0.24317,CCS,1180.0
Terminated,Capture,Europe,GB,0,1,0,0,51.418737,0.601415,Capture,1600.0
Terminated,Capture,Europe,GB,0,1,0,0,55.143175,-1.527295,Capture,2400.0
Completed,Storage,Europe,FR,0,0,0,0,47.83117,1.938112,Storage,450.0
Completed,Capture and Storage,Europe,FR,0,1,0,0,43.409338,-0.634186,CCS,0.9
Active,Capture and Storage,Europe,FR,0,1,0,0,48.955353,2.729149,CCS,23.0
Hold,Storage,Europe,DE,0,0,0,0,52.83368,11.154315,Storage,1000.0
Completed,Storage,Europe,DE,1,1,0,0,51.191544,12.356714,Storage,450.0
Terminated,Capture and Storage,Europe,DE,0,1,0,0,50.863656,6.838015,CCS,450.0
Completed,Capture,Europe,DE,0,1,0,0,50.994088,6.667984,Capture,1000.0
Terminated,Capture and Storage,Europe,DE,0,1,0,0,51.531127,14.351916,CCS,30.0
Hold,Capture and Storage,Europe,IT,0,1,0,0,44.99508667,9.939902306,CCS,660.0
Completed,Storage,Asia,JP,0,0,0,0,36.08712387,138.0771027,Storage,450.0
Completed,Storage,Asia,JP,0,1,0,0,43.006987,142.08831,Storage,450.0
Active,Capture,Asia,JP,0,0,0,0,33.872884,130.752913,Capture,18.0
Completed,Capture,Asia,JP,0,1,0,0,32.939747,129.59783,Capture,1000.0
Completed,Storage,Asia,JP,0,0,0,0,37.449965,138.850413,Storage,450.0
Active,Capture,Asia,JP,0,1,0,0,34.61697769,135.4057465,Capture,2.0
Completed,Capture,Asia,JP,0,1,0,0,35.35792923,139.8679047,Capture,450.0
